sim_names,omega 1,omega 2,omega 3,omega 1 prop,omega 2 prop,omega 3 prop,N_mom2,N_mean,NRV,alpha 1,alpha 2,alpha 3,alpha 1 prop,alpha 2 prop,alpha 3 prop,S_mom2,S_mean,SRV,normalizer
CV1d1o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.2701254,0.6548744,3.789403,0.2712465,0.6440053,0.0847482,1.512928806,0.8161582371,1.127508396,1.363710807
CV1d1o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.2701254,0.6548744,3.789403,0.2712465,0.6440053,0.0847482,1.512928806,0.8161582371,1.127508396,1.363710807
CV1d1o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.2701254,0.6548744,3.789403,0.2712465,0.6440053,0.0847482,1.512928806,0.8161582371,1.127508396,1.363710807
CV1d5,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.1282298,0.3992263,3.75356,0.235695,0.7122587,0.0520463,0.8506878533,0.509934438,1.507136187,1.073045939
CV1d5o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.1282298,0.3992263,3.75356,0.235695,0.7122587,0.0520463,0.8506878533,0.509934438,1.507136187,1.073045939
CV1d5o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.1282298,0.3992263,3.75356,0.235695,0.7122587,0.0520463,0.8506878533,0.509934438,1.507136187,1.073045939
CV1d5o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.1282298,0.3992263,3.75356,0.235695,0.7122587,0.0520463,0.8506878533,0.509934438,1.507136187,1.073045939
CV1d7,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.1103081,0.2043798,2.600169,0.3678632,0.6029359,0.0292009,0.2270851581,0.2397334843,1.717911904,0.7711145685
CV1d7o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.1103081,0.2043798,2.600169,0.3678632,0.6029359,0.0292009,0.2270851581,0.2397334843,1.717911904,0.7711145685
CV1d7o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.1103081,0.2043798,2.600169,0.3678632,0.6029359,0.0292009,0.2270851581,0.2397334843,1.717911904,0.7711145685
CV1d7o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.1103081,0.2043798,2.600169,0.3678632,0.6029359,0.0292009,0.2270851581,0.2397334843,1.717911904,0.7711145685
CV1d9,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.0466247,0.2353572,5.877553,0.1659553,0.6962554,0.1377893,4.798946522,0.9814702511,1.995460165,1.633410594
CV1d9o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.0466247,0.2353572,5.877553,0.1659553,0.6962554,0.1377893,4.798946522,0.9814702511,1.995460165,1.633410594
CV1d9o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.0466247,0.2353572,5.877553,0.1659553,0.6962554,0.1377893,4.798946522,0.9814702511,1.995460165,1.633410594
CV1d9o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.0466247,0.2353572,5.877553,0.1659553,0.6962554,0.1377893,4.798946522,0.9814702511,1.995460165,1.633410594
CV2,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.05790039,0.1630841,2.866718,0.3491921,0.5349444,0.1158635,0.9675728545,0.4396072658,2.001681161,0.9446416401
CV2o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.05790039,0.1630841,2.866718,0.3491921,0.5349444,0.1158635,0.9675728545,0.4396072658,2.001681161,0.9446416401
CV2o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.05790039,0.1630841,2.866718,0.3491921,0.5349444,0.1158635,0.9675728545,0.4396072658,2.001681161,0.9446416401
CV2o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.05790039,0.1630841,2.866718,0.3491921,0.5349444,0.1158635,0.9675728545,0.4396072658,2.001681161,0.9446416401
CV2d5,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.05747772,0.1916491,5.707965,0.1082528,0.879529,0.0122182,0.4307417041,0.2445241234,2.490782332,0.7697407074
CV2d5o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.05747772,0.1916491,5.707965,0.1082528,0.879529,0.0122182,0.4307417041,0.2445241234,2.490782332,0.7697407074
CV2d5o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.05747772,0.1916491,5.707965,0.1082528,0.879529,0.0122182,0.4307417041,0.2445241234,2.490782332,0.7697407074
CV2d5o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.05747772,0.1916491,5.707965,0.1082528,0.879529,0.0122182,0.4307417041,0.2445241234,2.490782332,0.7697407074
CV3,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.1139564,0.1143433,4.471696,0.6713783,0.2955648,0.0330569,0.6735908141,0.2581241162,3.018230747,1.122778854
CV3o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.1139564,0.1143433,4.471696,0.6713783,0.2955648,0.0330569,0.6735908141,0.2581241162,3.018230747,1.122778854
CV3o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.1139564,0.1143433,4.471696,0.6713783,0.2955648,0.0330569,0.6735908141,0.2581241162,3.018230747,1.122778854
CV3o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.1139564,0.1143433,4.471696,0.6713783,0.2955648,0.0330569,0.6735908141,0.2581241162,3.018230747,1.122778854
CV4,0.01729,0.4031,2.077,0.8341,0.13612,0.02978,0.1508362406,0.131144621,2.787490597,0.2659865,0.8196749,35.55689,0.6814338,0.3136469,0.0049193,6.478373353,0.6132556918,4.02814284,8.037626743
CV4o1,0.01729,0.4031,1,0.8341,0.13612,0.02978,0.05214743499,0.099071561,2.076761985,0.2659865,0.8196749,35.55689,0.6814338,0.3136469,0.0049193,6.478373353,0.6132556918,4.02814284,8.037626743
CV4o6,0.01729,0.4031,6,0.8341,0.13612,0.02978,1.094447435,0.247971561,4.098636083,0.2659865,0.8196749,35.55689,0.6814338,0.3136469,0.0049193,6.478373353,0.6132556918,4.02814284,8.037626743
CV4o13,0.01729,0.4031,13,0.8341,0.13612,0.02978,5.055187435,0.456431561,4.823413183,0.2659865,0.8196749,35.55689,0.6814338,0.3136469,0.0049193,6.478373353,0.6132556918,4.02814284,8.037626743
allOis1_D,1,1,1,0.8341,0.13612,0.02978,1,1,0,1,1,1,0.4657544,0.4458628,0.0883828,1,1,0,1
allOis1_B,1,1,1,0.8341,0.13612,0.02978,1,1,0,1,3,8,0.1,0.7,0.2,19.2,3.8,0.5741427429,4.15
allOis1_A,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.4788,1.196,3.301,0.3045,0.5441,0.1514,2.497841191,1.2963096,0.6974524215,1.645062737
allOis1_C,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.4885855,1.181344,3.740057,0.4657544,0.4458628,0.0883828,1.96971824,1.0848349,0.8207904077,1.616183794
allOis1_E,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.5800851,0.5832714,3.515658,0.1428172,0.6548646,0.2023182,2.771469203,1.17609152,1.001837059,1.4503457
allOis1_H,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.2701254,0.6548744,3.789403,0.2712465,0.6440053,0.0847482,1.512928806,0.8161582371,1.127508396,1.363710807
allOis1_I,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.1282298,0.3992263,3.75356,0.235695,0.7122587,0.0520463,0.8506878533,0.509934438,1.507136187,1.073045939
allOis1_J,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.1103081,0.2043798,2.600169,0.3678632,0.6029359,0.0292009,0.2270851581,0.2397334843,1.717911904,0.7711145685
allOis1_K,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.0466247,0.2353572,5.877553,0.1659553,0.6962554,0.1377893,4.798946522,0.9814702511,1.995460165,1.633410594
allOis1_L,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.05790039,0.1630841,2.866718,0.3491921,0.5349444,0.1158635,0.9675728545,0.4396072658,2.001681161,0.9446416401
allOis1_M,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.05747772,0.1916491,5.707965,0.1082528,0.879529,0.0122182,0.4307417041,0.2445241234,2.490782332,0.7697407074
allOis1_N,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.1139564,0.1143433,4.471696,0.6713783,0.2955648,0.0330569,0.6735908141,0.2581241162,3.018230747,1.122778854
allOis1_O,1,1,1,0.8341,0.13612,0.02978,1,1,0,0.2659865,0.8196749,35.55689,0.6814338,0.3136469,0.0049193,6.478373353,0.6132556918,4.02814284,8.037626743
